ou,value,dx_name,pe_name,ou_name
IX2qlVptNql,1,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-10,an Onitsha Pieta Hospital
ySBhaLN97hO,3,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-03,an St. Raphael Hospital Nkwelle Ezunaka
s4ZDSr4IBSr,1,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-07,an St. Marks Primary Health Centre
PvDpVr5oSIP,2,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-10,an Igbedor Primary Health Centre
IX2qlVptNql,4,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-01,an Onitsha Pieta Hospital
we90AXVrhUv,20,GF_Number of AGYW counseled tested and received result- Community,2025-10-07,an Umueri General Hospital
cCOaMR3DYko,2,GF_Number of Individuals Who Received HIV Testing Services (Hts) And Received Their Test Results - CT,2025-10-01,an Osumenyi Visitation Hospital
p7CKerD8kRp,1,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-08,an Oba Comprehensive Health Centre (Trauma Centre)
we90AXVrhUv,36,GF_Number of AGYW counseled tested and received result- Community,2025-10-08,an Umueri General Hospital
P9qUQA6KmAs,3,GF_Number of Individuals Who Received HIV Testing Services (Hts) And Received Their Test Results - CT,2025-10-06,an Holy Rosary Hospital
P9qUQA6KmAs,3,GF_Number of Individuals Who Received HIV Testing Services (Hts) And Received Their Test Results - CT,2025-10-07,an Holy Rosary Hospital
we90AXVrhUv,70,GF_Number of AGYW counseled tested and received result- Community,2025-10-10,an Umueri General Hospital
QqXS3kwHLkP,1,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-03,an Ifite Awkuzu Primary Health Centre
OoBxXYn1eoy,1,GF_Number of Clients tested HIV Positive (From Rat) - OPD,2025-10-03,an Nnamdi Azikiwe University Teaching Hospital
QS61X8Xc1Tg,1,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-10,an His Grace Maternity
lOzN4yw4pSh,2,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-07,an Madueke Memorial Hospital and Maternity
P9qUQA6KmAs,2,GF_Number of Individuals Who Received HIV Testing Services (Hts) And Received Their Test Results - CT,2025-10-02,an Holy Rosary Hospital
P9qUQA6KmAs,4,GF_Number of Individuals Who Received HIV Testing Services (Hts) And Received Their Test Results - CT,2025-10-03,an Holy Rosary Hospital
MUq9oPoC0hr,50,GF_Number of Individuals Who Received HIV Testing Services (Hts) And Received Their Test Results - CT,2025-10-10,an Ukpo Comprehensive Health Centre
Lc0UxCUN8HR,1,GF_Number of People Tested HIV Positive & Received Results - CT,2025-10-08,an Neni Comprehensive Health Centre NAUTH
OKPZ7SmaYwP,8,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-09,an Immaculate Heart Hospital (Nkpor)
OoBxXYn1eoy,1,GF_Number of Clients tested HIV Positive (From Rat) - OPD,2025-10-07,an Nnamdi Azikiwe University Teaching Hospital
OKPZ7SmaYwP,3,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-08,an Immaculate Heart Hospital (Nkpor)
QqXS3kwHLkP,1,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-07,an Ifite Awkuzu Primary Health Centre
AWDjfiWSCBU,2,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-10,an Orifite Referral Health Centre
BkHB5iIj0jE,80,GF_Number of Individuals Who Received HIV Testing Services (Hts) And Received Their Test Results - CT,2025-10-10,an Eziaguluotu Primary Health Centre
OKPZ7SmaYwP,2,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-01,an Immaculate Heart Hospital (Nkpor)
Lc0UxCUN8HR,10,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-09,an Neni Comprehensive Health Centre NAUTH
YzuXkd7MRFN,1,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-03,an Obuno Ebenebe Health Post
ElMyEZ6ECq9,2,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-03,an Madonna Hospital Awka
HqwDi1gXzB7,1,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-07,an Awba Offemmili Primary Health Centre
CLrRC2NZAR9,13,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-03,an Ogboro Primary Health Centre
ElMyEZ6ECq9,2,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-02,an Madonna Hospital Awka
dBES5aQviuh,5,GF_Number of KPs tested HIV positive and received result,2025-10-08,"an Anambra State One Stop Shop (OSS) Site, Awka"
dBES5aQviuh,2,GF_Number of KPs tested HIV positive and received result,2025-10-09,"an Anambra State One Stop Shop (OSS) Site, Awka"
ulyCfZ5PUNZ,2,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-10,an Achalla Primary Health Centre
V3MCCguBan8,9,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-10,an Ezira Primary Health Centre
ENi2yTYsiwn,13,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-03,an Holy Spirit Primary Health Centre
PeMBbhCoe0d,1,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-03,an Umunze General Hospital
sjeTS3oSial,34,GF_Number of Individuals Who Received HIV Testing Services (Hts) And Received Their Test Results - CT,2025-10-10,an Eziani Ihiala Primary Health Centre
msr1TOXqZKf,1,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-09,an St Charles Borromeo Hospital
fzYRxCwtQf2,1,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-10,an Akamili Primary Health Clinic
y4dTAIa0QOQ,4,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-03,an Umudara Primary Health Centre
pxYOOPUXmtt,5,GF_Number of Individuals Who Received HIV Testing Services (Hts) And Received Their Test Results - CT,2025-10-08,an Obosi St Martin's Hospital
jq7EoZZx26g,1,GF_Number of Clients tested HIV Positive (From Rat) - OPD,2025-10-01,an Osumenyi Primary Health Centre
k4Nw4uCT97V,7,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-09,an Umunya Comprehensive Health Centre
uYnfVI0bkyf,8,GF_Number of Individuals Who Received HIV Testing Services (Hts) And Received Their Test Results - CT,2025-10-02,an Nkpor Crown Hospital and Maternity
BkHB5iIj0jE,1,GF_Number of People Tested HIV Positive & Received Results - CT,2025-10-09,an Eziaguluotu Primary Health Centre
IwQUgEBiiYB,1,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-10,an Ogboji Primary Health Centre
jq7EoZZx26g,1,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-01,an Osumenyi Primary Health Centre
Cj3rwgMDm7q,5,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-06,an Umuawah Health Post
uYnfVI0bkyf,6,GF_Number of Individuals Who Received HIV Testing Services (Hts) And Received Their Test Results - CT,2025-10-06,an Nkpor Crown Hospital and Maternity
BkHB5iIj0jE,50,GF_Number of Individuals Who Received HIV Testing Services (Hts) And Received Their Test Results - CT,2025-10-08,an Eziaguluotu Primary Health Centre
P9qUQA6KmAs,1,GF_Number of Individuals Who Received HIV Testing Services (Hts) And Received Their Test Results - TB,2025-10-07,an Holy Rosary Hospital
OKPZ7SmaYwP,3,GF_Number of Individuals Who Received HIV Testing Services (HTS) And Received Their Test Results - Blood Bank,2025-10-08,an Immaculate Heart Hospital (Nkpor)
